"Title","Gross Domestic Product at market prices: Current price: Seasonally adjusted £m"
"CDID","YBHA"
"Source dataset ID","PN2"
"PreUnit","£"
"Unit","m"
"Release date","12-11-2020"
"Next release","22 December 2020"
"Important notes","Following a quality review it has been identified that the methodology used to estimate elements of purchased software within gross fixed capital formation (GFCF) has led to some double counting from 1997 onwards. When this issue is amended in The Blue Book 2017 it will reduce the level of GFCF across the period by around 1.1% per year. The average impact on quarter-on-quarter GFCF growth is negative 0.02% and the average impact on quarter-on-quarter GDP growth is 0.00%."
"2003 Q3","316568"
"2003 Q4","321966"
"2004 Q1","322897"
"2004 Q2","329033"
"2004 Q3","330791"
"2004 Q4","334738"
"2005 Q1","337926"
"2005 Q2","346983"
"2005 Q3","349720"
"2005 Q4","358409"
"2006 Q1","361619"
"2006 Q2","366410"
"2006 Q3","369568"
"2006 Q4","373122"
"2007 Q1","378624"
"2007 Q2","383376"
"2007 Q3","389461"
"2007 Q4","394624"
"2008 Q1","400688"
"2008 Q2","398915"
"2008 Q3","397188"
"2008 Q4","392468"
"2009 Q1","384441"
"2009 Q2","385619"
"2009 Q3","389776"
"2009 Q4","388677"
"2010 Q1","394878"
"2010 Q2","401588"
"2010 Q3","403451"
"2010 Q4","406110"
"2011 Q1","414242"
"2011 Q2","411759"
"2011 Q3","414864"
"2011 Q4","419276"
"2012 Q1","421447"
"2012 Q2","423697"
"2012 Q3","432624"
"2012 Q4","434002"
"2013 Q1","436035"
"2013 Q2","440203"
"2013 Q3","449241"
"2013 Q4","454857"
"2014 Q1","459591"
"2014 Q2","463641"
"2014 Q3","468959"
"2014 Q4","470817"
"2015 Q1","473838"
"2015 Q2","480944"
"2015 Q3","481713"
"2015 Q4","483146"
"2016 Q1","489770"
"2016 Q2","497175"
"2016 Q3","500613"
"2016 Q4","507154"
"2017 Q1","512085"
"2017 Q2","513953"
"2017 Q3","517482"
"2017 Q4","525237"
"2018 Q1","527869"
"2018 Q2","532966"
"2018 Q3","539287"
"2018 Q4","541670"
"2019 Q1","548441"
"2019 Q2","551278"
"2019 Q3","556226"
"2019 Q4","558417"
"2020 Q1","555870"
"2020 Q2","475519"
"2020 Q3","535641"
